City,Latitude,Longitude
Zuru,11.42406,5.22879
Zungeru,9.81278,6.15583
Zaria,11.11128,7.7227
Zango,13.05151,8.48765
Zalanga,10.61432,10.17647
Zaki Biam,7.51667,9.61667
Zadawa,11.4496,10.3672
Yuli,9.69889,10.27444
Yola,9.2,12.48333
Yenagoa,4.92472,6.26417
Yelwa,8.83333,9.63333
Yashikira,9.76667,3.4
Yandev,7.36667,9.05
Yanda Bayo,11.5071,10.7459
Yamrat,10.11161,9.82604
Yajiwa,11.38385,12.7236
Wuyo,10.38522,11.69678
Wusasa,11.07543,7.67925
Wurno,13.28777,5.42326
Wukari,7.85,9.78333
Wudil,11.81067,8.84505
Wawa,9.90222,4.41917
Wauro Jabbe,9.26667,12.41667
Wasagu,11.3764,5.79536
Warri,5.51667,5.75
Wamba,8.93333,8.6
Walmayo,7.7315,8.5441
Wagini,12.68781,7.19579
Vom,9.73333,8.78333
Uyo,5.03333,7.92657
Uruobo-Okija,5.90016,6.84312
Uromi,6.7,6.33333
Umunede,6.26374,6.31161
Umuahia,5.52627,7.48959
Ukata,10.83122,5.82494
Ughelli,5.48986,6.00743
Ugep,5.8086,8.0812
Uga Soja,7.7124,8.6137
Uga,5.93576,7.0793
Udi,6.3144,7.4258
Ubiaja,6.65504,6.38687
Uba,10.45306,13.22139
Tungan Ali,9.00556,7.22194
Toungo,8.11667,12.05
Tokombere,11.22713,13.48581
Tegina,10.0706,6.1906
Tambuwal,12.40386,4.64692
Talata Mafara,12.57317,6.05971
Takum,7.26667,9.98333
Takai,11.58333,9.11667
Suya,9.46667,3.18333
Suleja,9.17583,7.18083
Sokoto State,13.08333,5.25
Sokoto,13.06092,5.23902
Soba,10.98134,8.05749
Siluko,6.53858,5.1609
Shinkafi,13.07534,6.51046
Shani,10.21617,12.06198
Shanga,11.21062,4.57878
Saki,8.66667,3.38333
Shagamu,6.84323,3.64776
Shaffa,10.50673,12.33315
Sauri,11.72655,6.78374
Sapele,5.89405,5.67666
Samamiya,11.34873,9.63989
Sade,11.3595,10.6732
