City,Latitude,Longitude,Weather Description,Temperature (°C),Perceived Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Zuru,11.42406,5.22879,overcast clouds,38.02,34.79,6,3.53,2024-03-07 13:27:31
Zungeru,9.81278,6.15583,broken clouds,37.67,40.63,35,3.59,2024-03-07 13:27:32
Zaria,11.11128,7.7227,broken clouds,37.55,36.08,20,2.99,2024-03-07 13:27:33
Zango,13.05151,8.48765,overcast clouds,39.33,36.65,12,1.85,2024-03-07 13:27:34
Zalanga,10.61432,10.17647,overcast clouds,39.7,36.7,10,2.25,2024-03-07 13:27:35
Zaki Biam,7.51667,9.61667,overcast clouds,35.01,37.23,40,3.81,2024-03-07 13:27:36
Zadawa,11.4496,10.3672,overcast clouds,39.3,36.17,9,1.28,2024-03-07 13:27:37
Yuli,9.69889,10.27444,overcast clouds,41.12,41,20,1.59,2024-03-07 13:27:38
Yola,9.2,12.48333,clear sky,39.9,44.32,33,7.72,2024-03-07 13:27:39
Yenagoa,4.92472,6.26417,overcast clouds,35.93,40.47,44,3.38,2024-03-07 13:27:39
Yelwa,8.83333,9.63333,overcast clouds,38.23,39.85,30,3.81,2024-03-07 13:27:40
Yashikira,9.76667,3.4,broken clouds,40.12,38.41,16,1.08,2024-03-07 13:27:41
Yandev,7.36667,9.05,overcast clouds,35.51,37.86,39,4.51,2024-03-07 13:27:42
Yanda Bayo,11.5071,10.7459,overcast clouds,38.74,35.55,8,1.29,2024-03-07 13:27:43
Yamrat,10.11161,9.82604,overcast clouds,39.01,36.86,15,2.59,2024-03-07 13:27:44
Yajiwa,11.38385,12.7236,broken clouds,41.64,37.97,7,4.01,2024-03-07 13:27:45
Wuyo,10.38522,11.69678,overcast clouds,38.27,37.25,21,2.07,2024-03-07 13:27:46
Wusasa,11.07543,7.67925,broken clouds,37.47,35.98,20,2.96,2024-03-07 13:27:47
Wurno,13.28777,5.42326,overcast clouds,40.12,36.52,6,3.32,2024-03-07 13:27:47
Wukari,7.85,9.78333,overcast clouds,35.96,38.72,39,4.22,2024-03-07 13:27:48
Wudil,11.81067,8.84505,broken clouds,40.38,38.22,14,0.75,2024-03-07 13:27:49
Wawa,9.90222,4.41917,broken clouds,38.79,38.52,23,0.73,2024-03-07 13:27:50
Wauro Jabbe,9.26667,12.41667,clear sky,40.06,44.66,33,7.72,2024-03-07 13:27:50
Wasagu,11.3764,5.79536,broken clouds,38.34,36.27,16,4.29,2024-03-07 13:27:51
Warri,5.51667,5.75,overcast clouds,30.94,35.74,64,2.92,2024-03-07 13:27:52
Wamba,8.93333,8.6,overcast clouds,36.23,38.57,37,2.59,2024-03-07 13:27:53
Walmayo,7.7315,8.5441,broken clouds,38.4,42.09,35,3.18,2024-03-07 13:27:54
Wagini,12.68781,7.19579,broken clouds,39.34,37.45,16,3.6,2024-03-07 13:27:55
Vom,9.73333,8.78333,overcast clouds,30.74,29.65,32,3.15,2024-03-07 13:27:56
Uyo,5.03333,7.92657,broken clouds,34.64,39.11,48,2.17,2024-03-07 13:27:56
Uruobo-Okija,5.90016,6.84312,overcast clouds,32.37,36.42,55,1.97,2024-03-07 13:27:57
Uromi,6.7,6.33333,overcast clouds,32.17,34.43,49,3.03,2024-03-07 13:27:58
Umunede,6.26374,6.31161,overcast clouds,33.01,36.03,49,2.55,2024-03-07 13:27:59
Umuahia,5.52627,7.48959,overcast clouds,35.81,39.11,41,2.77,2024-03-07 13:27:59
Ukata,10.83122,5.82494,broken clouds,38.1,37.78,24,3.86,2024-03-07 13:28:00
Ughelli,5.48986,6.00743,overcast clouds,30.87,36.39,67,2.28,2024-03-07 13:28:01
Ugep,5.8086,8.0812,broken clouds,36.61,40.01,39,2.36,2024-03-07 13:28:02
Uga Soja,7.7124,8.6137,broken clouds,38.31,41.91,35,3.33,2024-03-07 13:28:02
